Feature,Essentials,Growth,Enterprise
Foresight Engine trend discovery,Limited,Included,Included
Markets included,1,Few,All
Categories included,~3,Expanded,All
Concept Genie (gen-AI concepts),No,Metered credits,Higher limits
Screen Winner (screening),No,Included,Included
Brand SAY / FoodGPT,No,Included,Included
Seats,1-3,Team,Org-wide
Localized language/data pack,1 market,Selected,All
Localized taxonomy & brand sets,No,Included,Included
Integrations / API / SSO,No,No,Included
Compliance & data residency,Standard,Standard,Region-specific
Support,Self-serve/email,Priority,CSM + SLA
Onboarding,Self-serve,Guided,White-glove + services
GTM motion,PLG-assisted,Hybrid,Sales-led
Target ACV (USD),<10K,25-60K,80K+
